Instancia,Modelo,Solver,Resultado,Tiempo
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-10-1.dat,SCF,Gurobi,410.79946419350836,11.544959545135498
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-10-1b.dat,SCF,Gurobi,410.79946419350836,11.421841859817505
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-10-2.dat,SCF,Gurobi,388.33673937337716,12.461348056793213
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-10-2b.dat,SCF,Gurobi,388.33673937337716,12.462069749832153
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-10-3.dat,SCF,Gurobi,333.2777614308105,14.08906078338623
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-10-3b.dat,SCF,Gurobi,333.2777614308105,13.887466192245483
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-5-1.dat,SCF,Gurobi,380.71470596814936,17.700565576553345
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-5-1b.dat,SCF,Gurobi,380.71470596814936,19.679999589920044
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-5-2.dat,SCF,Gurobi,339.4236678799449,15.857213973999023
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-5-2b.dat,SCF,Gurobi,339.4236678799449,15.297806978225708
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-5-3.dat,SCF,Gurobi,329.45424977444094,18.050004482269287
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-5-3b.dat,SCF,Gurobi,329.45424977444094,16.126868963241577
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord20-5-1.dat,SCF,Gurobi,175.5686600128385,0.24337029457092285
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord20-5-1b.dat,SCF,Gurobi,181.50580888602286,0.13663411140441895
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord20-5-2.dat,SCF,Gurobi,159.00155641238578,0.2164444923400879
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord20-5-2b.dat,SCF,Gurobi,192.32883798047874,0.3480689525604248
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord200-10-1.dat,SCF,Gurobi,535.5947215559612,245.38431763648987
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord200-10-1b.dat,SCF,Gurobi,535.5947215559612,231.55877709388733
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord200-10-2.dat,SCF,Gurobi,472.9836856628221,150.1022069454193
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord200-10-2b.dat,SCF,Gurobi,472.9836856628221,149.9588508605957
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord200-10-3.dat,SCF,Gurobi,476.07291909890125,126.46583127975464
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord200-10-3b.dat,SCF,Gurobi,476.07291909890125,131.24703764915466
